TwonHalfDecade,DecorativeArt,Drawing,Painting,Photograph,Portfolio,Print,Sculpture,TechnicalMaterial,Volume
1500,0.0,16.0,3.0,0.0,0.0,20.0,3.0,0.0,2.0
1525,0.0,18.0,5.0,0.0,0.0,58.0,3.0,0.0,3.0
1550,0.0,17.0,2.0,0.0,1.0,127.0,2.0,1.0,1.0
1575,0.0,22.0,1.0,0.0,0.0,84.0,0.0,0.0,0.0
1600,0.0,38.0,0.0,0.0,1.0,166.0,0.0,0.0,1.0
1625,0.0,47.0,10.0,0.0,0.0,334.0,1.0,0.0,3.0
1650,0.0,30.0,3.0,0.0,0.0,532.0,1.0,0.0,1.0
1675,0.0,22.0,2.0,0.0,1.0,181.0,0.0,0.0,4.0
1700,0.0,23.0,0.0,0.0,0.0,70.0,1.0,0.0,2.0
1725,0.0,27.0,1.0,0.0,4.0,81.0,2.0,0.0,10.0
1750,0.0,51.0,3.0,0.0,1.0,256.0,0.0,0.0,6.0
1775,0.0,117.0,0.0,0.0,0.0,639.0,0.0,0.0,29.0
1800,0.0,67.0,0.0,0.0,0.0,201.0,0.0,0.0,5.0
1825,0.0,51.0,3.0,0.0,3.0,201.0,0.0,0.0,60.0
1850,0.0,156.0,4.0,0.0,3.0,2374.0,0.0,0.0,13.0
1875,1.0,78.0,1.0,0.0,3.0,1080.0,0.0,0.0,3.0
1900,0.0,53.0,1.0,0.0,3.0,203.0,6.0,0.0,0.0
1925,0.0,41.0,5.0,0.0,4.0,130.0,5.0,0.0,0.0
1950,0.0,9.0,10.0,0.0,0.0,34.0,5.0,0.0,0.0
1975,0.0,155.0,24.0,14.0,0.0,43.0,35.0,0.0,1.0
2000,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
2025,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
